,OS,Remission,pCR,pRelapse
PCA_2,1.0,1.0,1.0,1.0
PCA_3,1.0,1.0,1.0,1.0
PCA_4,1.0,1.0,1.0,1.0
PCA_5,1.0,1.0,1.0,1.0
PCA_6,1.0,1.0,1.0,1.0
PCA_7,1.0,1.0,1.0,1.0
PCA_8,1.0,1.0,1.0,1.0
PCA_9,1.0,1.0,1.0,1.0
PCA_10,1.0,1.0,1.0,1.0
PCA_11,1.0,1.0,1.0,1.0
PCA_12,1.0,1.0,1.0,1.0
PCA_13,1.0,1.0,1.0,1.0
PCA_14,1.0,1.0,1.0,1.0
PCA_15,1.0,1.0,1.0,1.0
PCA_16,1.0,1.0,1.0,1.0
PCA_17,1.0,1.0,1.0,1.0
PCA_18,1.0,1.0,1.0,1.0
PCA_19,1.0,1.0,1.0,1.0
PCA_20,1.0,1.0,1.0,1.0
PCA_21,1.0,1.0,1.0,1.0
PCA_22,1.0,1.0,1.0,1.0
PCA_23,1.0,1.0,1.0,1.0
PCA_24,1.0,1.0,1.0,1.0
PCA_25,1.0,1.0,1.0,1.0
PCA_26,1.0,1.0,1.0,1.0
PCA_27,1.0,1.0,1.0,1.0
PCA_28,1.0,1.0,1.0,1.0
PCA_29,1.0,1.0,1.0,1.0
PCA_30,1.0,1.0,1.0,1.0
PCA_31,1.0,1.0,1.0,1.0
PCA_32,1.0,1.0,1.0,1.0
PCA_33,1.0,1.0,1.0,1.0
PCA_34,1.0,1.0,1.0,1.0
PCA_35,1.0,1.0,1.0,1.0
PCA_36,1.0,1.0,1.0,1.0
PCA_37,1.0,1.0,1.0,1.0
PCA_38,1.0,1.0,1.0,1.0
PCA_39,1.0,1.0,1.0,1.0
PCA_40,1.0,1.0,1.0,1.0
PCA_41,1.0,1.0,1.0,1.0
PCA_42,1.0,1.0,1.0,1.0
PCA_43,1.0,1.0,1.0,1.0
PCA_44,1.0,1.0,1.0,1.0
PCA_45,1.0,1.0,1.0,1.0
PCA_46,1.0,1.0,1.0,1.0
PCA_47,1.0,1.0,1.0,1.0
PCA_48,1.0,1.0,1.0,1.0
PCA_49,1.0,1.0,1.0,1.0
PCA_50,1.0,1.0,1.0,1.0
PCA_51,1.0,1.0,1.0,1.0
PCA_52,1.0,1.0,1.0,1.0
PCA_53,1.0,1.0,1.0,1.0
PCA_54,1.0,1.0,1.0,1.0
PCA_55,1.0,1.0,1.0,1.0
PCA_56,1.0,1.0,1.0,1.0
PCA_57,1.0,1.0,1.0,1.0
PCA_58,1.0,1.0,1.0,1.0
PCA_59,1.0,1.0,1.0,1.0
PCA_60,1.0,1.0,1.0,1.0
PCA_61,1.0,1.0,1.0,1.0
